Issue Number,Parent Issue,Issue URL,Title,Assignees,Status,Type,Area,Priority,Initiative,Target Milestone,Size,Estimate,Time Spent,Remaining Work,Σ Estimate,Σ Time Spent,Σ Remaining Work,External Reference,Comments,Reporting Date,Alerts
72,,https://github.com/kubesmarts/logic-apps/issues/72,Placeholder - Database migration service,,Next,,Cloud,Major,,2.0.0,,,,,0.0,0.0,0.0,,,,
71,,https://github.com/kubesmarts/logic-apps/issues/71,Document versioning and release process,ricardozanini,Next,,Cloud,Major,,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-17,
48,,https://github.com/kubesmarts/logic-operator/issues/48,[M5] Observability Enhancement - workflowApplicationId,ricardozanini,Next,,Cloud,Major,,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-17,
44,,https://github.com/kubesmarts/logic-operator/issues/44,[M4] [EPIC] Production Readiness - Observability & Security,ricardozanini,Next,,Cloud,Major,,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-17,
41,,https://github.com/kubesmarts/logic-operator/issues/41,[M3] [EPIC] Operator Integration & E2E Testing,ricardozanini,Next,,Cloud,Major,,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-17,
37,,https://github.com/kubesmarts/logic-operator/issues/37,[M2] [EPIC] Sticky Session Routing - Operations Support,ricardozanini,Next,,Cloud,Major,,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-17,
32,,https://github.com/kubesmarts/logic-operator/issues/32,[M1] [EPIC] Workflow Gateway MVP - Core Routing,ricardozanini,Next,,Cloud,Major,,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-17,
16,,https://github.com/kubesmarts/logic-operator/issues/16,[EPIC] Logic Operator v2.0 - Implementation Roadmap,ricardozanini,Next,,Cloud,Blocker,Serverless Logic,2.0.0,,,,,2.0,2.0,0.0,,,2026-09-10,
15,16,https://github.com/kubesmarts/logic-operator/issues/15,Production Readiness,ricardozanini,Backlog,,Cloud,Blocker,Serverless Logic,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-10,
14,16,https://github.com/kubesmarts/logic-operator/issues/14,Migration Guide & Documentation,ricardozanini,Backlog,,Docs,Blocker,Serverless Logic,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-10,
13,16,https://github.com/kubesmarts/logic-operator/issues/13,Runtime Autoscaling,ricardozanini,Backlog,,Cloud,Blocker,Serverless Logic,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-10,
12,16,https://github.com/kubesmarts/logic-operator/issues/12,LogicPlatform Centralized Mode,ricardozanini,Backlog,,Cloud,Blocker,Serverless Logic,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-10,
11,16,https://github.com/kubesmarts/logic-operator/issues/11,Multi-Version Support & Traffic Splitting,ricardozanini,Backlog,,Cloud,Blocker,Serverless Logic,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-10,
10,16,https://github.com/kubesmarts/logic-operator/issues/10,End-to-End Testing (Phase 1 Validation),ricardozanini,Backlog,,QE,Blocker,Serverless Logic,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-10,
9,16,https://github.com/kubesmarts/logic-operator/issues/9,Data Index Integration,ricardozanini,Backlog,,Cloud,Blocker,Serverless Logic,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-10,
8,16,https://github.com/kubesmarts/logic-operator/issues/8,LogicPlatform Controller (Local Mode),ricardozanini,Backlog,,Cloud,Blocker,Serverless Logic,2.0.0,,,,,0.0,0.0,0.0,,,2026-09-10,
2,1,https://github.com/open-workflow-specification/migration-tool/issues/2,Population of initial version of the migration tool,,In progress,,Tooling,Critical,,2.0.0,,0.8,,,0.8,0.0,0.0,,,,
1,,https://github.com/open-workflow-specification/migration-tool/issues/1,Create a migration tool the convert 0.8 workflows into 1.0 workflows,fjtirado,Next,,Tooling,Critical,,2.0.0,,,,,0.8,0.0,0.8,,,2026-09-16,
