Issue Number,Parent Issue,Issue URL,Title,Assignees,Type,Area,Priority,Initiative,Target Milestone,Size,Estimate,Time Spent,Reporting Date,External Reference,Comments,Alerts
67,,https://github.com/kubesmarts/logic-apps/issues/67,Set up Quay.io image publishing pipeline,ricardozanini,,Cloud,Critical,,2.0.0,,0.4,0.4,2026-09-18,,,
68,,https://github.com/kubesmarts/logic-apps/issues/68,Build and publish data-index-service PostgreSQL image,ricardozanini,,Cloud,Major,,2.0.0,,0.4,0.4,2026-09-18,,,
69,,https://github.com/kubesmarts/logic-apps/issues/69,Build and publish data-index-service Elasticsearch image,ricardozanini,,Cloud,Major,,2.0.0,,0.4,0.4,2026-09-18,,,
70,,https://github.com/kubesmarts/logic-apps/issues/70,Build and publish Kafka ingestion service image,ricardozanini,,Cloud,Major,,2.0.0,,0.4,0.4,2026-09-18,,,
7,,https://github.com/kubesmarts/logic-operator/issues/7,LogicFlowService Controller,ricardozanini,,Cloud,Blocker,Serverless Logic,2.0.0,,0.1,0.1,2026-09-10,,,
4,,https://github.com/kubesmarts/logic-operator/issues/4,Core CRDs & API Types,ricardozanini,,Cloud,Blocker,Serverless Logic,2.0.0,,0.5,0.5,2026-09-10,,,
5,,https://github.com/kubesmarts/logic-operator/issues/5,LogicFlowRuntime Controller,ricardozanini,,Cloud,Blocker,Serverless Logic,2.0.0,,0.5,0.5,2026-09-10,,,
6,,https://github.com/kubesmarts/logic-operator/issues/6,LogicFlowDefinition Controller,ricardozanini,,Cloud,Blocker,Serverless Logic,2.0.0,,0.5,0.5,2026-09-10,,,
32,,https://github.com/kubesmarts/logic-apps/issues/32,Data Index ingestion bottleneck in Mode 3 with Kafka and postgresql: consider grouping events,mcruzdev,,Runtimes,Major,Serverless Logic,2.0.0,,0.4,0.4,2026-09-10,,,
23,,https://github.com/kubesmarts/logic-apps/issues/23,Implement Kafka-based event ingestion service for PostgreSQL backend (MODE 3),mcruzdev,,Runtimes,Major,Serverless Logic,2.0.0,,1.0,1,2026-09-10,,,
3,,https://github.com/kubesmarts/logic-operator/issues/3,Codebase Cleanup & Preparation,ricardozanini,,Cloud,Blocker,Serverless Logic,2.0.0,,0.4,0.4,2026-09-10,,,
13,,https://github.com/kubesmarts/logic-apps/issues/13,Data Index PostgreSQL: getWorkflowInstances fails due to invalid HQL path t.instance.id,gmunozfe,,Runtimes,Blocker,Serverless Logic,2.0.0,,0.1,0.1,2026-09-10,,,
16,,https://github.com/kubesmarts/logic-apps/issues/16,Data Index PostgreSQL task normalization trigger is not concurrency-safe for task lifecycle events,gmunozfe,,Runtimes,Major,Serverless Logic,2.0.0,,0.3,0.3,2026-09-10,,,
19,,https://github.com/kubesmarts/logic-apps/issues/19,Data Index PostgreSQL deadlocks under performance pressure,gmunozfe,,Runtimes,Major,Serverless Logic,2.0.0,,0.4,0.3,2026-09-10,,,
24,,https://github.com/kubesmarts/logic-apps/issues/24,Elasticsearch task-executions-transform maps instance_id as dynamic object and fails with total_fields limit exceeded,gmunozfe,,Runtimes,Blocker,Serverless Logic,2.0.0,,0.2,0.2,2026-09-10,,,
27,,https://github.com/kubesmarts/logic-apps/issues/27,Elasticsearch transforms use dynamic mappings for normalized timestamp fields,gmunozfe,,Runtimes,Major,Serverless Logic,2.0.0,,0.4,0.4,2026-09-10,,,
29,,https://github.com/kubesmarts/logic-apps/issues/29,Transform metrics collector re-registers gauges on every polling cycle,gmunozfe,,Runtimes,Major,Serverless Logic,2.0.0,,0.3,0.3,2026-09-10,,,
